Details,Posting Date,Description,Amount,Type,Account Head,Statement
CREDIT,30/6/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014646101 EED:230630   IND ID:ST-P5A9U4V6H2L3              IND NAME:VIJAY SIVARAJU TRN: 1814646101TC,159.6,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/3/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230803 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000026697716 EED:230803   IND ID:JP1XMWZHOQF2N3Y              IND NAME:Absolut Pet TRN: 2156697716TC,159.65,ACH_CREDIT,Sales,Profit and Loss
CREDIT,22/9/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230920 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000029373380 EED:230920   IND ID:TJ644UDDQ33220C              IND NAME:Snovoo TRN: 2639373380TC,159.98,ACH_CREDIT,Sales,Profit and Loss
CREDIT,26/12/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:231226 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000024919727 EED:231226   IND ID:0OP7PNA6BR2386W              IND NAME:Absolut Pet TRN: 3604919727TC,160.28,ACH_CREDIT,Sales,Profit and Loss
CREDIT,7/7/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015632201 EED:230707   IND ID:ST-C7C9W5W2V0D6              IND NAME:VIJAY SIVARAJU TRN: 1885632201TC,160.57,ACH_CREDIT,Sales,Profit and Loss
CREDIT,30/3/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013526607 EED:230330   IND ID:ST-U8A3M6S5X6V2              IND NAME:VIJAY SIVARAJU TRN: 0893526607TC,161.58,ACH_CREDIT,Sales,Profit and Loss
CREDIT,5/3/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015545735 EED:230503   IND ID:ST-A6X8X7L6E8U9              IND NAME:VIJAY SIVARAJU TRN: 1235545735TC,163.61,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/9/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230109 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000024514805 EED:230109   IND ID:FDME3XZF3B2M6RY              IND NAME:Absolut Pet TRN: 0094514805TC,164.05,ACH_CREDIT,Sales,Profit and Loss
CREDIT,3/7/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:394440     DESC DATE:230306 CO ENTRY DESCR:AutoPay   SEC:CCD    TRACE#:124084801609896 EED:230307   IND ID:TGZI44SRKQCB76E              IND NAME:Absolut Pet TRN: 0661609896TC,164.35,ACH_CREDIT,Sales,Profit and Loss
CREDIT,13/3/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015168575 EED:230313   IND ID:ST-K1S6F1Y8R8K7              IND NAME:VIJAY SIVARAJU TRN: 0725168575TC,164.46,ACH_CREDIT,Sales,Profit and Loss
CREDIT,7/12/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010313140 EED:230712   IND ID:ST-I9M1G4I5A9T4              IND NAME:VIJAY SIVARAJU TRN: 1930313140TC,164.46,ACH_CREDIT,Sales,Profit and Loss
CREDIT,5/4/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011025470 EED:230504   IND ID:ST-N9C4P4X3N2Y9              IND NAME:VIJAY SIVARAJU TRN: 1241025470TC,164.46,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/4/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018384363 EED:230804   IND ID:ST-X0A2R3T2U3B4              IND NAME:VIJAY SIVARAJU TRN: 2168384363TC,164.94,ACH_CREDIT,Sales,Profit and Loss
CREDIT,11/6/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010896808 EED:231106   IND ID:ST-V7C3B9M0X6B7              IND NAME:VIJAY SIVARAJU TRN: 3100896808TC,165.41,ACH_CREDIT,Sales,Profit and Loss
CREDIT,27/12/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:394440     DESC DATE:231226 CO ENTRY DESCR:AutoPay   SEC:CCD    TRACE#:124084800946284 EED:231227   IND ID:UH9RHXS9YKWKG93              IND NAME:Snovoo TRN: 3610946284TC,166.23,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/12/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230912 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000020583526 EED:230912   IND ID:S4IYXHDMX20ELUQ              IND NAME:Snovoo TRN: 2550583526TC,168.45,ACH_CREDIT,Sales,Profit and Loss
CREDIT,24/1/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230124 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000021177505 EED:230124   IND ID:0Q3TR8YX4E9ZTEK              IND NAME:Absolut Pet TRN: 0241177505TC,168.75,ACH_CREDIT,Sales,Profit and Loss
CREDIT,2/7/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230207 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000025734912 EED:230207   IND ID:AJL43LY8DJH2B86              IND NAME:Absolut Pet TRN: 0385734912TC,168.75,ACH_CREDIT,Sales,Profit and Loss
CREDIT,30/10/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:231031 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000026988110 EED:231031   IND ID:29BP3B90RSH6ZWS              IND NAME:Snovoo TRN: 3046988110TC,168.75,ACH_CREDIT,Sales,Profit and Loss
CREDIT,3/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018486340 EED:230302   IND ID:ST-S0S7O7K0T8Q7              IND NAME:VIJAY SIVARAJU TRN: 0618486340TC,168.92,ACH_CREDIT,Sales,Profit and Loss
CREDIT,31/5/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:394440     DESC DATE:230530 CO ENTRY DESCR:AutoPay   SEC:CCD    TRACE#:124084803589053 EED:230531   IND ID:OZ62F6NZFZWO2GE              IND NAME:Absolut Pet TRN: 1513589053TC,169.07,ACH_CREDIT,Sales,Profit and Loss
CREDIT,28/12/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011878875 EED:231228   IND ID:ST-B7J8U7X7L8J4              IND NAME:ECOM CONSULTING TRN: 3621878875TC,169.79,ACH_CREDIT,Sales,Profit and Loss
CREDIT,31/10/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015199962 EED:231113   IND ID:ST-Z6D5T0O6A8D1              IND NAME:ECOM CONSULTING TRN: 3175199962TC,172.32,ACH_CREDIT,Sales,Profit and Loss
CREDIT,16/8/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230816 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000024127735 EED:230816   IND ID:WAQSSPEDYQYDC3P              IND NAME:Absolut Pet TRN: 2284127735TC,172.53,ACH_CREDIT,Sales,Profit and Loss
CREDIT,31/10/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015236006 EED:231114   IND ID:ST-W8H7R3M3F7N8              IND NAME:ECOM CONSULTING TRN: 3185236006TC,172.54,ACH_CREDIT,Sales,Profit and Loss
CREDIT,5/3/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015533059 EED:230503   IND ID:ST-I4D6L5J3W6X7              IND NAME:ECOM CONSULTING TRN: 1235533059TC,172.69,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/11/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016313439 EED:231120   IND ID:ST-M4Z5P1E9A2G8              IND NAME:ECOM CONSULTING TRN: 3246313439TC,172.92,ACH_CREDIT,Sales,Profit and Loss
CREDIT,13/11/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013382532 EED:231115   IND ID:ST-N6L9X6R4O7U9              IND NAME:ECOM CONSULTING TRN: 3193382532TC,173.22,ACH_CREDIT,Sales,Profit and Loss
CREDIT,15/5/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230515 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000029215169 EED:230515   IND ID:SHF7BNNUBEGXPBR              IND NAME:The Motorheadz TRN: 1359215169TC,173.47,ACH_CREDIT,Sales,Profit and Loss
CREDIT,19/9/2023,ORIG CO NAME:Shopify Snovoo         ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014673431 EED:230915   IND ID:ST-N4W9Y8L0D7J0              IND NAME:VIJAY SIVARAJU TRN: 2584673431TC,173.85,ACH_CREDIT,Sales,Profit and Loss
CREDIT,26/9/2023,ORIG CO NAME:Shopify Snovoo         ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016543648 EED:230922   IND ID:ST-P2X7H1P4I7Q1              IND NAME:VIJAY SIVARAJU TRN: 2656543648TC,173.85,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/9/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018003091 EED:230109   IND ID:ST-X0B8P9Z4X4E4              IND NAME:VIJAY SIVARAJU TRN: 0098003091TC,174.15,ACH_CREDIT,Sales,Profit and Loss
CREDIT,3/7/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011641344 EED:230307   IND ID:ST-C7G6V1F7V3S3              IND NAME:VIJAY SIVARAJU TRN: 0661641344TC,174.16,ACH_CREDIT,Sales,Profit and Loss
CREDIT,23/2/2023,ORIG CO NAME:Shopify AP             ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013257906 EED:230223   IND ID:ST-K2K6C8X1G5P8              IND NAME:VIJAY SIVARAJU TRN: 0543257906TC,174.7,ACH_CREDIT,Sales,Profit and Loss
CREDIT,8/2/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015804911 EED:230802   IND ID:ST-Q2M8R2H9F6U6              IND NAME:VIJAY SIVARAJU TRN: 2145804911TC,175.67,ACH_CREDIT,Sales,Profit and Loss
CREDIT,19/12/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:231219 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000025259352 EED:231219   IND ID:EKFSR9LNKXQE91P              IND NAME:Snovoo TRN: 3535259352TC,177.22,ACH_CREDIT,Sales,Profit and Loss
CREDIT,5/3/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015545746 EED:230503   IND ID:ST-M1I7D7I7R1D8              IND NAME:ECOM CONSULTING TRN: 1235545746TC,177.72,ACH_CREDIT,Sales,Profit and Loss
CREDIT,11/1/2023,ORIG CO NAME:Shopify Snovoo         ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016654423 EED:231101   IND ID:ST-G7J1U9R8G6J8              IND NAME:VIJAY SIVARAJU TRN: 3056654423TC,182.55,ACH_CREDIT,Sales,Profit and Loss
CREDIT,19/4/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230419 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000024859597 EED:230419   IND ID:9WXPBZSBLKJH5QN              IND NAME:Absolut Pet TRN: 1094859597TC,182.87,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/2/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230214 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000027486646 EED:230214   IND ID:S9Z3OK6CCYXXQEJ              IND NAME:Absolut Pet TRN: 0457486646TC,182.88,ACH_CREDIT,Sales,Profit and Loss
CREDIT,27/2/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230227 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000021028560 EED:230227   IND ID:BPWOZYFUZYRFHVS              IND NAME:Absolut Pet TRN: 0581028560TC,182.88,ACH_CREDIT,Sales,Profit and Loss
CREDIT,23/3/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230323 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000020398865 EED:230323   IND ID:YFGICP60X97E79L              IND NAME:Summer Pawz TRN: 0820398865TC,182.88,ACH_CREDIT,Sales,Profit and Loss
CREDIT,4/4/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230404 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000025513430 EED:230404   IND ID:BYZBK23C7PAGGU3              IND NAME:Summer Pawz TRN: 0945513430TC,182.88,ACH_CREDIT,Sales,Profit and Loss
CREDIT,31/7/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230728 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000024282398 EED:230728   IND ID:70VAOMZ9AA3HU4G              IND NAME:Absolut Pet TRN: 2094282398TC,182.88,ACH_CREDIT,Sales,Profit and Loss
CREDIT,11/3/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013131775 EED:231103   IND ID:ST-Y4J2G3L4Y5C2              IND NAME:VIJAY SIVARAJU TRN: 3073131775TC,183.82,ACH_CREDIT,Sales,Profit and Loss
CREDIT,17/4/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016172187 EED:230417   IND ID:ST-I6Q9I7Z0P5W6              IND NAME:VIJAY SIVARAJU TRN: 1076172187TC,184.18,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/11/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230111 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000021937585 EED:230111   IND ID:O3SAJW22QD2IMO9              IND NAME:Absolut Pet TRN: 0111937585TC,185.4,ACH_CREDIT,Sales,Profit and Loss
CREDIT,26/6/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018576538 EED:230626   IND ID:ST-S7S3T6F6K3E3              IND NAME:VIJAY SIVARAJU TRN: 1778576538TC,186.78,ACH_CREDIT,Sales,Profit and Loss
CREDIT,22/2/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011057287 EED:230222   IND ID:ST-E3F7U1A1O8L9              IND NAME:VIJAY SIVARAJU TRN: 0531057287TC,187.22,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/6/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230906 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000025323711 EED:230906   IND ID:ZB1MQG2YY1GV375              IND NAME:Snovoo TRN: 2495323711TC,187.27,ACH_CREDIT,Sales,Profit and Loss
CREDIT,15/8/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230815 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000021147724 EED:230815   IND ID:AHN2CYCKL441IRJ              IND NAME:Absolut Pet TRN: 2271147724TC,187.58,ACH_CREDIT,Sales,Profit and Loss
CREDIT,21/6/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230621 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000023312169 EED:230621   IND ID:RDH1F8CL6576CMM              IND NAME:Absolut Pet TRN: 1723312169TC,187.59,ACH_CREDIT,Sales,Profit and Loss
CREDIT,20/3/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012356484 EED:230320   IND ID:ST-D6A3Y9S6N7F0              IND NAME:VIJAY SIVARAJU TRN: 0792356484TC,187.88,ACH_CREDIT,Sales,Profit and Loss
CREDIT,24/7/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012647253 EED:230724   IND ID:ST-M4L3D2L9V7B9              IND NAME:VIJAY SIVARAJU TRN: 2052647253TC,188.73,ACH_CREDIT,Sales,Profit and Loss
CREDIT,19/4/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013078510 EED:230419   IND ID:ST-S1D7Z9J6J8D8              IND NAME:VIJAY SIVARAJU TRN: 1093078510TC,188.73,ACH_CREDIT,Sales,Profit and Loss
CREDIT,24/5/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016689568 EED:230524   IND ID:ST-F8D5M6W1R3V4              IND NAME:VIJAY SIVARAJU TRN: 1446689568TC,188.73,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/6/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013099270 EED:230906   IND ID:ST-K6O4H0K2X1X7              IND NAME:VIJAY SIVARAJU TRN: 2493099270TC,188.8,ACH_CREDIT,Sales,Profit and Loss
CREDIT,5/4/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011023606 EED:230504   IND ID:ST-L7B9U9N2T1Z8              IND NAME:ECOM CONSULTING TRN: 1241023606TC,189.95,ACH_CREDIT,Sales,Profit and Loss
CREDIT,7/7/2023,ORIG CO NAME:Shopify ToyTrave       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015632072 EED:230707   IND ID:ST-P7C6A0Y8J3N2              IND NAME:ECOM CONSULTING TRN: 1885632072TC,191.31,ACH_CREDIT,Sales,Profit and Loss
CREDIT,13/7/2023,ORIG CO NAME:Shopify Furcools       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000019349805 EED:230713   IND ID:ST-P2S0Z8A1U2X9              IND NAME:VIJAY SIVARAJU TRN: 1949349805TC,191.43,ACH_CREDIT,Sales,Profit and Loss
CREDIT,4/12/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230412 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000029094135 EED:230412   IND ID:PIZWULSK1N8XBCX              IND NAME:Absolut Pet TRN: 1029094135TC,192.28,ACH_CREDIT,Sales,Profit and Loss
CREDIT,16/5/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230516 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000022653333 EED:230516   IND ID:3W739KDYVIY8EP1              IND NAME:Absolut Pet TRN: 1362653333TC,192.29,ACH_CREDIT,Sales,Profit and Loss
CREDIT,7/11/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230711 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000028942104 EED:230711   IND ID:IQLBTRIX0MHOEWQ              IND NAME:Absolut Pet TRN: 1928942104TC,192.29,ACH_CREDIT,Sales,Profit and Loss
CREDIT,1/4/2023,ORIG CO NAME:Shopify                ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012515432 EED:230104   IND ID:ST-K9B3X5Z9W9E6              IND NAME:ECOM CONSULTING TRN: 0042515432TC,192.63,ACH_CREDIT,Sales,Profit and Loss
CREDIT,11/3/2023,ORIG CO NAME:Shopify Snovoo         ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013130252 EED:231103   IND ID:ST-F4U6V8N2G0W5              IND NAME:VIJAY SIVARAJU TRN: 3073130252TC,192.68,ACH_CREDIT,Sales,Profit and Loss
CREDIT,28/11/2023,ORIG CO NAME:Shopify Sopanova       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016788372 EED:231128   IND ID:ST-V5P4H9N4A4E1              IND NAME:ECOM CONSULTING TRN: 3326788372TC,192.97,ACH_CREDIT,Sales,Profit and Loss
CREDIT,11/6/2023,ORIG CO NAME:Shopify Snovoo         ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010907788 EED:231106   IND ID:ST-P9B3S7T4H4O1              IND NAME:VIJAY SIVARAJU TRN: 3100907788TC,193,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/12/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015612124 EED:230912   IND ID:ST-J2R0O7V9S5Y2              IND NAME:ECOM CONSULTING TRN: 2555612124TC,193.25,ACH_CREDIT,Sales,Profit and Loss
CREDIT,9/1/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012319065 EED:230901   IND ID:ST-O2X0E0D9I4S6              IND NAME:VIJAY SIVARAJU TRN: 2442319065TC,194.89,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/12/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:231214 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000026067500 EED:231214   IND ID:US8GH233G75C8ME              IND NAME:Snovoo TRN: 3486067500TC,194.91,ACH_CREDIT,Sales,Profit and Loss
CREDIT,24/2/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230224 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000029457399 EED:230224   IND ID:YJCC0RZ8KJFB8ZQ              IND NAME:Absolut Pet TRN: 0559457399TC,196.69,ACH_CREDIT,Sales,Profit and Loss
CREDIT,3/3/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230303 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000022774389 EED:230303   IND ID:PCHTQNUMAK0IPWP              IND NAME:Absolut Pet TRN: 0622774389TC,196.98,ACH_CREDIT,Sales,Profit and Loss
CREDIT,3/7/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230307 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000026453373 EED:230307   IND ID:IKGT9PVZ4T4RKNF              IND NAME:Absolut Pet TRN: 0666453373TC,196.99,ACH_CREDIT,Sales,Profit and Loss
CREDIT,22/3/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230322 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000027659351 EED:230322   IND ID:M01OTL2B1V08GZR              IND NAME:Absolut Pet TRN: 0817659351TC,196.99,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/4/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230414 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000023823659 EED:230414   IND ID:28OCO4HZ3OF0SQG              IND NAME:Absolut Pet TRN: 1043823659TC,196.99,ACH_CREDIT,Sales,Profit and Loss
CREDIT,3/7/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230307 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000029083953 EED:230307   IND ID:HCDQ915SOX2UXIA              IND NAME:Absolut Pet TRN: 0669083953TC,199.46,ACH_CREDIT,Sales,Profit and Loss
CREDIT,14/3/2023,ORIG CO NAME:SHOPPAYINST AFRM       ORIG ID:9729198000 DESC DATE:230314 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000029658513 EED:230314   IND ID:NGSF8J7OVBA0MK6              IND NAME:Absolut Pet TRN: 0739658513TC,200.71,ACH_CREDIT,Sales,Profit and Loss
CREDIT,20/7/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011148664 EED:230720   IND ID:ST-Y8W8C1Y2X9C2              IND NAME:VIJAY SIVARAJU TRN: 2011148664TC,202.2,ACH_CREDIT,Sales,Profit and Loss
CREDIT,22/9/2023,ORIG CO NAME:Shopify Absolut        ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000016921445 EED:230921   IND ID:ST-X8T7V1C4A1I1              IND NAME:VIJAY SIVARAJU TRN: 2646921445TC,202.72,ACH_CREDIT,Sales,Profit and Loss
CREDIT,21/12/2023,ORIG CO NAME:Shopify Soul Hug       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000012657574 EED:231221   IND ID:ST-P7L6N6I9X0B5              IND NAME:ECOM CONSULTING TRN: 3552657574TC,204.76,ACH_CREDIT,Sales,Profit and Loss
